Adding PANDA arg syscalls2:profile=linux_x86.
os_type=2 bits=32 os_details=[lava32]
syscalls2: using profile for linux x86 32-bit
loading snapshot
... done.
opening nondet log for read :	./Recordings/gitPull-rr-nondet.log
Syscall: 3078489113 888659968 13
Syscall: 3078489113 888659968 195
Syscall: 3078489113 888659968 197
Syscall: 3078489113 888659968 195
Syscall: 3078489113 888659968 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077620761 924934144 3
Syscall: 3077620761 924934144 3
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 4
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 3
Syscall: 3078099993 926330880 78
Syscall: 3078099993 926330880 168
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077620761 924934144 4
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 54
Syscall: 3077620761 924934144 54
Syscall: 3077620761 924934144 54
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 174
Syscall: 3077620761 924934144 13
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 42
Syscall: 3077620761 924934144 120
Syscall: 3077620761 924934144 57
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 6
Syscall: 3077620761 924934144 6
Syscall: 3077620761 924934144 54
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 175
Syscall: 3077620761 924934144 7
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 175
Syscall: 3077768217 925941760 3
Syscall: 3077768217 925941760 142
Syscall: 3078468139 889020416 45
